ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,CATEGORIA,PUNTOS_DESERTOR,CATEGORIA_NUM
Estudiante 155,2024 - 2025 CI,8.37,6.68,98.57,1,1,7,0.14,BAJO,0,0
Estudiante 155,2024 - 2025 CII,7.95,7.17,93.67,1,0,6,0.00,BAJO,0,0
Estudiante 156,2024 - 2025 CI,6.63,0.00,80.86,1,1,7,0.14,MEDIO,0,1
Estudiante 156,2024 - 2025 CII,2.63,0.00,38.00,1,6,6,1.00,DESERTOR,3,3
Estudiante 157,2023 - 2024 CII,7.79,4.71,98.14,1,1,7,0.14,BAJO,0,0
Estudiante 157,2024 - 2025 CI,7.73,6.22,95.50,2,1,6,0.17,ALTO,0,2
Estudiante 157,2024 - 2025 CII,8.01,7.00,97.83,2,0,6,0.00,ALTO,0,2
Estudiante 158,2023 - 2024 CII,8.18,6.78,99.00,1,1,7,0.14,BAJO,0,0
Estudiante 158,2024 - 2025 CI,7.77,6.74,96.50,2,1,6,0.17,ALTO,0,2
Estudiante 158,2024 - 2025 CII,8.46,7.71,92.67,2,0,6,0.00,ALTO,0,2
Estudiante 159,2023 - 2024 CII,7.71,6.40,97.14,1,1,7,0.14,BAJO,0,0
Estudiante 159,2024 - 2025 CI,7.48,4.95,96.67,2,2,6,0.33,ALTO,0,2
Estudiante 159,2024 - 2025 CII,8.68,8.47,92.75,2,0,4,0.00,ALTO,0,2
Estudiante 16,2024 - 2025 CII,6.88,0.00,79.14,1,1,7,0.14,MEDIO,0,1
Estudiante 160,2024 - 2025 CI,7.84,6.63,93.57,1,1,7,0.14,BAJO,0,0
Estudiante 160,2024 - 2025 CII,4.58,0.00,52.00,1,3,6,0.50,ALTO,0,2
Estudiante 161,2023 - 2024 CII,7.59,6.18,99.57,1,1,7,0.14,BAJO,0,0
Estudiante 161,2024 - 2025 CI,8.20,7.49,98.17,2,0,6,0.00,ALTO,0,2
Estudiante 161,2024 - 2025 CII,8.24,7.00,97.83,1,0,6,0.00,BAJO,0,0
Estudiante 162,2024 - 2025 CI,8.14,6.53,97.43,1,1,7,0.14,BAJO,0,0
Estudiante 162,2024 - 2025 CII,6.97,0.00,76.33,1,1,6,0.17,MEDIO,0,1
Estudiante 163,2024 - 2025 CI,8.72,8.72,97.00,1,0,1,0.00,BAJO,0,0
Estudiante 163,2024 - 2025 CII,5.93,5.93,92.00,1,1,1,1.00,ALTO,1,2
Estudiante 164,2024 - 2025 CII,8.18,8.18,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 165,2024 - 2025 CII,7.87,7.87,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 166,2024 - 2025 CII,2.61,2.61,62.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 167,2024 - 2025 CII,7.96,7.96,81.00,2,0,1,0.00,ALTO,0,2
Estudiante 168,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 169,2024 - 2025 CII,8.16,8.16,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 17,2024 - 2025 CII,9.38,8.65,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 170,2024 - 2025 CII,5.20,5.20,84.00,1,1,1,1.00,ALTO,1,2
Estudiante 171,2024 - 2025 CII,6.65,6.65,90.00,1,1,1,1.00,ALTO,1,2
Estudiante 172,2024 - 2025 CII,8.05,8.05,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 173,2024 - 2025 CII,8.20,8.20,81.00,1,0,1,0.00,BAJO,0,0
Estudiante 174,2024 - 2025 CII,5.73,5.73,96.00,1,1,1,1.00,ALTO,1,2
Estudiante 175,2024 - 2025 CII,0.00,0.00,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 176,2024 - 2025 CII,6.94,6.94,100.00,1,1,1,1.00,ALTO,1,2
Estudiante 177,2024 - 2025 CII,8.26,8.26,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 178,2024 - 2025 CI,8.82,7.65,99.43,1,0,7,0.00,BAJO,0,0
Estudiante 178,2024 - 2025 CII,9.55,9.55,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 179,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 18,2024 - 2025 CII,9.25,8.38,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 180,2024 - 2025 CII,6.56,6.56,100.00,1,1,1,1.00,ALTO,1,2
Estudiante 181,2024 - 2025 CII,8.48,8.48,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 182,2023 - 2024 CII,8.14,7.53,99.43,1,0,7,0.00,BAJO,0,0
Estudiante 182,2024 - 2025 CI,8.09,5.63,89.86,1,1,7,0.14,BAJO,0,0
Estudiante 182,2024 - 2025 CII,8.63,7.74,90.80,2,0,5,0.00,ALTO,0,2
Estudiante 183,2023 - 2024 CII,8.14,7.08,99.57,1,0,7,0.00,BAJO,0,0
Estudiante 183,2024 - 2025 CI,7.87,5.48,97.57,1,1,7,0.14,BAJO,0,0
Estudiante 183,2024 - 2025 CII,8.40,7.19,100.00,2,0,5,0.00,ALTO,0,2
Estudiante 184,2023 - 2024 CII,7.89,6.36,98.00,1,1,7,0.14,BAJO,0,0
Estudiante 184,2024 - 2025 CI,7.36,5.58,96.50,1,1,6,0.17,MEDIO,0,1
Estudiante 184,2024 - 2025 CII,8.39,7.00,96.00,2,0,4,0.00,ALTO,0,2
Estudiante 185,2023 - 2024 CII,8.36,7.18,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 185,2024 - 2025 CI,7.91,6.08,97.00,1,1,7,0.14,BAJO,0,0
Estudiante 185,2024 - 2025 CII,8.71,7.59,100.00,2,0,5,0.00,ALTO,0,2
Estudiante 186,2023 - 2024 CII,8.02,7.16,99.00,1,0,7,0.00,BAJO,0,0
Estudiante 186,2024 - 2025 CI,7.76,6.26,97.57,1,1,7,0.14,BAJO,0,0
Estudiante 186,2024 - 2025 CII,8.81,7.45,99.20,2,0,5,0.00,ALTO,0,2
Estudiante 187,2023 - 2024 CII,8.08,7.21,97.43,1,0,7,0.00,BAJO,0,0
Estudiante 187,2024 - 2025 CI,7.79,6.45,97.86,1,1,7,0.14,BAJO,0,0
Estudiante 187,2024 - 2025 CII,8.70,7.86,98.80,2,0,5,0.00,ALTO,0,2
Estudiante 188,2023 - 2024 CII,8.26,7.22,98.00,1,0,7,0.00,BAJO,0,0
Estudiante 188,2024 - 2025 CI,7.87,4.12,85.00,1,1,7,0.14,BAJO,0,0
Estudiante 188,2024 - 2025 CII,8.74,7.29,90.00,2,0,5,0.00,ALTO,0,2
Estudiante 189,2023 - 2024 CII,8.96,7.76,96.71,1,0,7,0.00,BAJO,0,0
Estudiante 189,2024 - 2025 CI,8.28,7.40,95.43,1,0,7,0.00,BAJO,0,0
Estudiante 189,2024 - 2025 CII,8.91,8.32,93.67,1,0,6,0.00,BAJO,0,0
Estudiante 19,2024 - 2025 CII,8.91,7.61,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 190,2023 - 2024 CII,8.58,7.29,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 190,2024 - 2025 CI,7.99,7.38,97.57,1,0,7,0.00,BAJO,0,0
Estudiante 190,2024 - 2025 CII,8.88,8.00,97.67,1,0,6,0.00,BAJO,0,0
Estudiante 191,2023 - 2024 CII,8.79,7.71,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 191,2024 - 2025 CI,8.43,7.05,97.29,1,0,7,0.00,BAJO,0,0
Estudiante 191,2024 - 2025 CII,9.35,8.32,97.67,1,0,6,0.00,BAJO,0,0
Estudiante 192,2023 - 2024 CII,9.30,8.54,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 192,2024 - 2025 CI,8.21,7.08,94.14,1,0,7,0.00,BAJO,0,0
Estudiante 192,2024 - 2025 CII,8.36,7.54,91.00,1,0,6,0.00,BAJO,0,0
Estudiante 193,2023 - 2024 CII,9.09,8.34,99.00,1,0,7,0.00,BAJO,0,0
Estudiante 193,2024 - 2025 CI,8.83,7.48,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 193,2024 - 2025 CII,9.20,8.37,99.33,1,0,6,0.00,BAJO,0,0
Estudiante 194,2023 - 2024 CII,8.97,8.30,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 194,2024 - 2025 CI,7.83,7.06,95.43,1,0,7,0.00,BAJO,0,0
Estudiante 194,2024 - 2025 CII,0.21,0.00,19.33,1,6,6,1.00,DESERTOR,3,3
Estudiante 195,2023 - 2024 CII,8.89,7.87,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 195,2024 - 2025 CI,8.68,7.73,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 195,2024 - 2025 CII,9.36,8.33,99.33,1,0,6,0.00,BAJO,0,0
Estudiante 196,2023 - 2024 CII,9.25,8.79,98.00,1,0,7,0.00,BAJO,0,0
Estudiante 196,2024 - 2025 CI,9.19,8.67,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 196,2024 - 2025 CII,9.65,9.15,100.00,1,0,6,0.00,BAJO,0,0
Estudiante 197,2023 - 2024 CII,8.39,7.84,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 197,2024 - 2025 CI,8.25,7.02,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 197,2024 - 2025 CII,9.27,8.14,98.67,1,0,6,0.00,BAJO,0,0
Estudiante 198,2023 - 2024 CII,8.51,7.09,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 198,2024 - 2025 CI,8.72,7.09,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 198,2024 - 2025 CII,8.90,8.30,97.17,1,0,6,0.00,BAJO,0,0
Estudiante 199,2023 - 2024 CII,8.28,7.07,99.43,1,0,7,0.00,BAJO,0,0
Estudiante 199,2024 - 2025 CI,8.09,7.25,91.14,1,0,7,0.00,BAJO,0,0
Estudiante 199,2024 - 2025 CII,9.08,8.73,96.33,1,0,6,0.00,BAJO,0,0
Estudiante 2,2024 - 2025 CI,7.72,5.76,93.29,1,1,7,0.14,BAJO,0,0
Estudiante 2,2024 - 2025 CII,6.74,0.00,68.00,2,1,4,0.25,ALTO,0,2
Estudiante 20,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 200,2023 - 2024 CII,8.53,7.25,97.00,1,0,7,0.00,BAJO,0,0
Estudiante 200,2024 - 2025 CI,8.04,7.08,96.86,1,0,7,0.00,BAJO,0,0
Estudiante 200,2024 - 2025 CII,9.52,8.57,95.17,1,0,6,0.00,BAJO,0,0
Estudiante 201,2023 - 2024 CII,9.25,8.20,99.43,1,0,7,0.00,BAJO,0,0
Estudiante 201,2024 - 2025 CI,8.75,7.92,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 201,2024 - 2025 CII,9.16,8.17,99.33,1,0,6,0.00,BAJO,0,0
Estudiante 202,2023 - 2024 CII,9.23,8.03,99.43,1,0,7,0.00,BAJO,0,0
Estudiante 202,2024 - 2025 CI,8.37,7.33,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 202,2024 - 2025 CII,9.35,8.82,100.00,1,0,6,0.00,BAJO,0,0
Estudiante 203,2023 - 2024 CII,7.73,7.05,94.00,1,0,7,0.00,BAJO,0,0
Estudiante 203,2024 - 2025 CI,8.29,7.02,95.00,1,0,7,0.00,BAJO,0,0
Estudiante 203,2024 - 2025 CII,9.32,8.34,91.83,1,0,6,0.00,BAJO,0,0
Estudiante 204,2023 - 2024 CII,8.85,7.69,97.71,1,0,7,0.00,BAJO,0,0
Estudiante 204,2024 - 2025 CI,8.04,7.16,97.29,1,0,7,0.00,BAJO,0,0
Estudiante 204,2024 - 2025 CII,9.16,7.30,95.17,1,0,6,0.00,BAJO,0,0
Estudiante 205,2023 - 2024 CII,8.03,7.13,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 205,2024 - 2025 CI,8.01,7.11,97.14,1,0,7,0.00,BAJO,0,0
Estudiante 205,2024 - 2025 CII,8.72,7.75,97.67,1,0,6,0.00,BAJO,0,0
Estudiante 206,2023 - 2024 CII,8.14,7.65,100.00,1,0,6,0.00,BAJO,0,0
Estudiante 206,2024 - 2025 CI,8.05,7.24,96.29,1,0,7,0.00,BAJO,0,0
Estudiante 206,2024 - 2025 CII,0.00,0.00,8.33,1,6,6,1.00,DESERTOR,3,3
Estudiante 207,2023 - 2024 CII,8.10,7.14,97.57,1,0,7,0.00,BAJO,0,0
Estudiante 207,2024 - 2025 CI,8.21,7.50,96.57,1,0,7,0.00,BAJO,0,0
Estudiante 207,2024 - 2025 CII,8.97,8.09,96.33,1,0,6,0.00,BAJO,0,0
Estudiante 208,2023 - 2024 CII,8.54,7.58,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 208,2024 - 2025 CI,8.30,7.05,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 208,2024 - 2025 CII,9.03,8.13,99.33,1,0,6,0.00,BAJO,0,0
Estudiante 209,2023 - 2024 CII,8.85,7.39,97.43,1,0,7,0.00,BAJO,0,0
Estudiante 209,2024 - 2025 CI,8.90,8.01,97.00,1,0,7,0.00,BAJO,0,0
Estudiante 209,2024 - 2025 CII,8.29,7.64,97.33,1,0,6,0.00,BAJO,0,0
Estudiante 21,2024 - 2025 CII,8.72,7.40,97.86,1,0,7,0.00,BAJO,0,0
Estudiante 210,2023 - 2024 CII,7.67,1.13,85.14,1,2,7,0.29,MEDIO,0,1
Estudiante 210,2024 - 2025 CI,8.24,7.28,92.20,1,0,5,0.00,BAJO,0,0
Estudiante 210,2024 - 2025 CII,8.60,8.37,98.25,1,0,4,0.00,BAJO,0,0
Estudiante 211,2023 - 2024 CII,8.21,7.36,98.14,1,0,7,0.00,BAJO,0,0
Estudiante 211,2024 - 2025 CI,8.02,7.00,97.57,1,0,7,0.00,BAJO,0,0
Estudiante 211,2024 - 2025 CII,8.65,7.62,96.00,1,0,6,0.00,BAJO,0,0
Estudiante 212,2023 - 2024 CII,7.86,5.70,99.14,1,1,7,0.14,BAJO,0,0
Estudiante 212,2024 - 2025 CI,8.03,7.17,97.20,1,0,5,0.00,BAJO,0,0
Estudiante 212,2024 - 2025 CII,8.59,7.85,95.50,1,0,4,0.00,BAJO,0,0
Estudiante 213,2023 - 2024 CII,8.34,7.37,100.00,1,0,7,0.00,BAJO,0,0
Estudiante 213,2024 - 2025 CI,7.86,6.09,98.43,1,1,7,0.14,BAJO,0,0
Estudiante 213,2024 - 2025 CII,8.68,7.82,99.00,1,0,4,0.00,BAJO,0,0
Estudiante 214,2024 - 2025 CII,9.75,9.75,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 215,2024 - 2025 CII,8.09,8.09,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 216,2024 - 2025 CII,4.43,4.43,52.00,1,1,1,1.00,ALTO,1,2
Estudiante 217,2024 - 2025 CII,8.55,8.55,90.00,1,0,1,0.00,BAJO,0,0
Estudiante 218,2024 - 2025 CII,4.31,4.31,54.00,1,1,1,1.00,ALTO,1,2
Estudiante 219,2024 - 2025 CII,7.02,7.02,78.00,2,0,1,0.00,ALTO,0,2
Estudiante 22,2024 - 2025 CII,9.29,8.61,99.57,1,0,7,0.00,BAJO,0,0
Estudiante 220,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 221,2024 - 2025 CII,8.60,8.60,88.00,1,0,1,0.00,BAJO,0,0
Estudiante 222,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 223,2024 - 2025 CII,6.08,6.08,78.00,2,1,1,1.00,ALTO,1,2
Estudiante 224,2024 - 2025 CII,8.32,8.32,90.00,1,0,1,0.00,BAJO,0,0
Estudiante 225,2024 - 2025 CII,7.87,7.87,93.00,1,0,1,0.00,BAJO,0,0
Estudiante 226,2024 - 2025 CII,2.69,2.69,28.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 227,2024 - 2025 CII,7.06,7.06,72.00,1,0,1,0.00,MEDIO,0,1
Estudiante 228,2024 - 2025 CI,7.73,7.73,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 228,2024 - 2025 CII,7.85,7.85,82.00,1,0,1,0.00,BAJO,0,0
Estudiante 229,2024 - 2025 CII,8.91,8.91,82.00,1,0,1,0.00,BAJO,0,0
Estudiante 23,2024 - 2025 CII,9.49,8.37,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 230,2024 - 2025 CII,7.98,7.98,90.00,1,0,1,0.00,BAJO,0,0
Estudiante 231,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 232,2024 - 2025 CII,8.40,8.40,93.00,1,0,1,0.00,BAJO,0,0
Estudiante 233,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 234,2024 - 2025 CII,8.24,8.24,88.00,1,0,1,0.00,BAJO,0,0
Estudiante 235,2024 - 2025 CI,8.67,8.67,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 235,2024 - 2025 CII,9.01,9.01,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 236,2024 - 2025 CII,8.92,8.92,97.00,3,0,1,0.00,ALTO,0,2
Estudiante 237,2024 - 2025 CII,8.35,8.35,85.00,1,0,1,0.00,BAJO,0,0
Estudiante 238,2024 - 2025 CII,8.14,8.14,100.00,1,0,1,0.00,BAJO,0,0
Estudiante 239,2024 - 2025 CII,6.71,6.71,90.00,1,1,1,1.00,ALTO,1,2
Estudiante 24,2024 - 2025 CII,9.03,8.03,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 240,2024 - 2025 CII,7.26,7.26,100.00,1,0,1,0.00,MEDIO,0,1
Estudiante 241,2024 - 2025 CII,8.02,8.02,96.00,1,0,1,0.00,BAJO,0,0
Estudiante 242,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 243,2024 - 2025 CII,3.11,3.11,76.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 244,2024 - 2025 CII,7.68,7.68,94.00,2,0,1,0.00,ALTO,0,2
Estudiante 245,2024 - 2025 CII,7.06,7.06,82.00,2,0,1,0.00,ALTO,0,2
Estudiante 246,2024 - 2025 CII,7.04,7.04,86.00,1,0,1,0.00,MEDIO,0,1
Estudiante 247,2024 - 2025 CII,7.82,7.82,72.00,1,0,1,0.00,MEDIO,0,1
Estudiante 248,2024 - 2025 CII,2.62,2.62,58.00,2,1,1,1.00,DESERTOR,2,3
Estudiante 249,2024 - 2025 CII,7.02,7.02,90.00,1,0,1,0.00,MEDIO,0,1
Estudiante 25,2024 - 2025 CII,9.14,8.21,98.86,1,0,7,0.00,BAJO,0,0
Estudiante 250,2024 - 2025 CII,3.04,3.04,68.00,1,1,1,1.00,DESERTOR,2,3
Estudiante 251,2024 - 2025 CII,0.00,0.00,0.00,2,1,1,1.00,DESERTOR,3,3
Estudiante 252,2024 - 2025 CII,8.62,8.62,94.00,1,0,1,0.00,BAJO,0,0
Estudiante 253,2024 - 2025 CII,8.69,8.69,90.00,2,0,1,0.00,ALTO,0,2
Estudiante 254,2024 - 2025 CI,0.31,0.00,8.57,1,7,7,1.00,DESERTOR,3,3
Estudiante 255,2024 - 2025 CI,1.59,0.00,15.71,1,7,7,1.00,DESERTOR,3,3
Estudiante 256,2023 - 2024 CII,6.53,3.37,85.80,1,2,5,0.40,MEDIO,0,1
Estudiante 256,2024 - 2025 CI,1.10,0.00,21.50,2,4,4,1.00,DESERTOR,3,3
Estudiante 257,2023 - 2024 CII,6.57,3.34,93.43,1,3,7,0.43,MEDIO,0,1
Estudiante 257,2024 - 2025 CI,3.52,0.00,62.00,2,3,3,1.00,DESERTOR,2,3
Estudiante 258,2024 - 2025 CI,0.47,0.00,11.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 259,2024 - 2025 CI,0.60,0.00,13.43,1,7,7,1.00,DESERTOR,3,3
Estudiante 26,2024 - 2025 CII,5.00,3.82,94.75,1,4,4,1.00,ALTO,1,2
Estudiante 260,2024 - 2025 CI,3.96,0.00,49.83,1,5,6,0.83,DESERTOR,2,3
Estudiante 261,2023 - 2024 CII,4.67,1.47,85.71,1,7,7,1.00,ALTO,1,2
Estudiante 261,2024 - 2025 CI,3.51,0.00,72.00,2,7,7,1.00,DESERTOR,2,3
Estudiante 262,2023 - 2024 CII,2.91,0.00,68.14,1,7,7,1.00,DESERTOR,2,3
Estudiante 262,2024 - 2025 CI,1.67,0.00,43.57,2,7,7,1.00,DESERTOR,2,3
Estudiante 263,2024 - 2025 CI,8.17,6.39,94.57,1,1,7,0.14,BAJO,0,0
Estudiante 264,2023 - 2024 CII,6.67,3.62,90.86,1,3,7,0.43,MEDIO,0,1
Estudiante 264,2024 - 2025 CI,0.18,0.00,22.33,2,6,6,1.00,DESERTOR,3,3
Estudiante 265,2024 - 2025 CI,4.48,0.00,59.14,1,6,7,0.86,ALTO,1,2
Estudiante 266,2023 - 2024 CII,6.12,4.74,94.00,1,6,7,0.86,ALTO,1,2
Estudiante 266,2024 - 2025 CI,4.30,2.17,77.00,2,7,7,1.00,ALTO,1,2
